dataset,x,y
dots,51.1479167122,90.8674123313
dots,50.5171258092,89.1023945866
dots,50.2074801993,85.4600473951
dots,50.0694819181,83.0576695262
dots,50.562846338600004,82.9378217764
dots,50.288527801,82.9752535659
dots,25.5834750822,82.9148911324
dots,25.4835833896,82.929084979
dots,25.4435257049,82.8742004973
dots,25.5651134237,82.9240977704
dots,25.9288442731,82.8211841087
dots,27.5514782612,51.4873865306
dots,27.5304663693,51.4148465629
dots,27.0955703605,52.0767994399
dots,27.4392496133,51.7120790527
dots,27.8782642594,50.70890793
dots,27.3388689181,51.6530467544
dots,27.6784029741,51.1819891691
dots,52.6356576791,51.4185522584
dots,52.0252141055,52.1230110467
dots,52.8811647904,50.6215547554
dots,52.9526073133,50.0747390118
dots,52.5205524936,51.5024421035
dots,52.3428220582,51.8619520908
dots,51.9275902141,52.2577906065
dots,52.7137744894,51.1979443188
dots,50.4438027888,82.9418288173
dots,50.2166950326,83.7523429676
dots,52.1841801076,51.9752506714
dots,52.7920973459,51.0733956509
dots,52.5897198565,51.338090196
dots,52.0288486671,52.1768375002
dots,52.729246581,51.2017650475
dots,52.8843132864,50.4414354501
dots,52.5093008862,51.4162051508
dots,50.8626843321,17.1456310914
dots,50.8914922458,17.1413237277
dots,25.8551275976,17.0819086886
dots,26.0256445518,16.9250135319
dots,27.8931727187,50.6619634101
dots,27.6399679354,51.3990974838
dots,27.892658895,50.7952815163
dots,52.7977329399,50.6860370901
dots,27.5806388053,51.5247612607
dots,26.4913985349,17.4053909738
dots,25.9853178159,17.203722132
dots,26.2014192753,17.0938239128
dots,25.857569474600002,17.113842659
dots,50.7046843629,17.0237445436
dots,50.8119753465,17.1149252621
dots,50.564845557699996,17.0777773216
dots,50.9393039127,16.981021883
dots,50.4588548392,17.0385789686
dots,52.9013640729,50.6905627231
dots,52.6849534438,51.2944692191
dots,52.500088943,51.594356165
dots,51.8356372562,52.3357655339
dots,76.9954121013,52.0455286534
dots,77.310600475,51.7467300374
dots,77.9260443352,50.3186604237
dots,77.2543883433,51.4618248152
dots,76.2431578028,52.1236898503
dots,77.0844843669,51.9671367003
dots,75.2280531954,82.9856620201
dots,50.6583547714,83.1144793358
dots,50.2033658114,82.9826568621
dots,50.9295476993,82.8460411252
dots,50.1786718465,83.1846223323
dots,50.422698058,82.9099014671
dots,50.4642248341,82.9353284131
dots,50.4492703306,83.9699203811
dots,49.9283802752,82.9936654888
dots,50.4880136436,83.0995191232
dots,49.9649053793,83.7083177013
dots,50.7521082559,82.9019500961
dots,27.4224292143,51.4388762325
dots,27.6740833991,51.3041121452
dots,27.5373953151,51.593654076200004
dots,52.2633473764,94.2493278274
dots,51.7372816586,92.9791175339
dots,75.8709636929,88.3864417377
dots,75.2443262052,83.9034973788
dots,75.1982952889,83.4623033365
dots,75.7010415321,82.9194588559
dots,75.4793396586,82.8840513891
dots,75.1945668739,82.9321157846
dots,74.8202539551,82.9623887856
dots,75.1643404933,83.0349971693
dots,75.2633555474,82.9452793018
dots,77.7564189331,51.1517703255
dots,77.9544350549,50.4755789715
dots,77.0833377719,52.1577992662
dots,76.0635502513,52.1046520613
dots,77.6820163247,51.1656378096
dots,76.8780819814,51.8675622958
dots,76.9485027211,51.9075165439
dots,77.8640547124,49.6625455341
dots,75.7714500936,17.1112512057
dots,52.3315691301,51.8788603463
dots,52.5928183721,51.3915915185
dots,50.4770477213,17.0482894119
dots,75.2964750909,17.015653188800002
dots,75.573954129,17.0621921415
dots,75.4005271583,17.0411068868
dots,75.8709908356,17.1348939075
dots,75.6058847579,17.0677230553
dots,75.8955770466,17.1699497051
dots,75.7465632023,17.1057165115
dots,75.1423414811,16.7549238932
dots,50.6617795563,17.0781405153
dots,50.6998506392,17.0851843836
dots,50.9189408654,17.1476047571
dots,50.7252585405,16.9074698083
dots,51.2638712274,17.1623497098
dots,51.2509196468,17.2404558616
dots,50.7851572052,17.1801964842
dots,50.5013965822,17.1057707188
dots,50.7336745372,16.9929634144
dots,50.7113785398,17.0883158538
dots,50.8127448984,16.5727180506
dots,51.014232955,17.2210955293
dots,50.3535214052,17.0647430794
dots,50.4355295722,17.0651685025
dots,50.6309819633,17.0765223454
dots,51.0668072036,17.2088597095
dots,50.7923547263,17.2042143387
dots,50.5512780561,17.0846551833
dots,50.5597580562,17.0938837744
dots,75.3259785471,15.7718919896
dots,75.04472578,17.0042622562
dots,75.2870877232,16.1749349097
dots,75.2399699777,17.0318474866
dots,75.1524592023,17.0049424015
dots,75.9618400861,16.6948422289
dots,75.4480625064,17.0451494125
dots,75.7593838168,16.9429296545
dots,50.378262298,16.9462798113
dots,50.5336350094,17.0195813691
dots,77.5009073165,50.1669859475
dots,50.6911241884,87.5139604241
dots,49.9903949511,83.997356924
dots,50.1271820272,82.990749996
circle,55.9930301513,79.2772636977
circle,50.0322537946,79.013071199
circle,51.2884586593,82.4359398425
circle,51.1705368873,79.1652941091
circle,44.3779145287,78.1646280036
circle,45.0102700721,77.8808631153
circle,48.559816719,78.7883706035
circle,42.1422682922,76.8806345544
circle,41.0269715735,76.4095884613
circle,34.5753090115,72.7248411845
circle,31.1686007236,69.2454213193
circle,32.6442540714,70.7325550334
circle,26.6666456539,62.9809712052
circle,26.4592623274,62.6346733709
circle,25.5380076465,60.6302361093
circle,26.3207111933,62.3962811186
circle,26.1633874648,62.0268148985
circle,25.2137904611,60.2733986018
circle,26.8595295604,63.1418346727
circle,31.7606691716,69.7976553936
circle,39.7932905744,75.8079642168
circle,45.6174391854,78.1199702277
circle,53.7714606827,79.3029316435
circle,56.4514336733,79.2471070208
circle,66.0937201989,77.0178182606
circle,56.9258394194,79.2063186226
circle,58.9882538467,78.9172589554
circle,57.9022660533,79.0808678187
circle,64.8128669568,77.4869389235
circle,60.3497935166,78.7294458673
circle,48.890555756,16.8065435154
circle,47.549506348,17.0714045245
circle,30.8894308257,26.3290372348
circle,28.972835724,29.0504689185
circle,35.1613607523,22.7868496473
circle,45.8703691685,17.4893933655
circle,32.8314206076,24.7975381459
circle,39.4855747899,20.0330500489
circle,33.4461829314,24.1906434075
circle,21.8635812756,46.0525933457
circle,25.1658708449,35.7666139539
circle,22.9594789762,51.2877067934
circle,25.5860552415,60.8465833585
circle,26.3143100672,33.2971681038
circle,33.037301251,24.5644624921
circle,36.4688894772,21.8761144725
circle,26.5135531009,32.9187498178
circle,36.0270912125,22.1954385395
circle,42.6810404129,18.5425361977
circle,45.0410771273,17.7345177303
circle,47.3524164557,17.1347454264
circle,53.8461940322,16.3873180961
circle,55.1296393835,16.3532468711
circle,52.188119961699996,16.4182174652
circle,58.6726630845,16.6633724322
circle,82.1443116037,33.1952218669
circle,75.6865711383,24.7415103908
circle,85.344964503,52.886419866
circle,83.8446535127,58.6160602305
circle,85.66476066,45.5427527692
circle,77.931004934,68.6900618808
circle,73.0318330209,73.12057473
circle,70.1028044999,75.6832068542
circle,57.1446946889,79.1941025922
circle,46.9624619942,78.6665589963
circle,50.5649338128,79.0772985529
circle,53.7196765696,79.306936167
circle,54.2002323226,79.3250023354
circle,47.875198343,78.6758534295
circle,51.4734585149,79.1598669963
circle,52.7512222162,79.2936599344
circle,48.5622230047,78.7823835275
circle,53.0812416908,79.2972507654
circle,56.475383374,79.1678400979
circle,49.570911405,79.0381238831
circle,37.6277032991,74.5575043418
circle,32.2637000863,70.3166389012
circle,32.542380336,70.7024172063
circle,52.8250171923,85.5781338795
circle,58.5282895407,78.9787042541
circle,56.265834263,79.2529394854
circle,57.0758924193,79.1939225382
circle,54.2564023808,79.3138648504
circle,62.6856712475,78.1747432719
circle,68.0856058616,76.1123175001
circle,65.1181219632,77.3991884543
circle,68.7456312971,75.7900554548
circle,63.0902251412,78.041409495
circle,77.2045893204,69.3121497658
circle,82.0339084758,62.6818697859
circle,81.5779459183,63.8949255005
circle,85.1801432805,53.7816766607
circle,84.2868249936,57.2561680896
circle,85.6224867126,45.0241658646
circle,85.6044990156,50.7623379055
circle,84.4247858276,38.761410164
circle,85.570985078,44.5600964397
circle,84.6267242006,39.4870775084
circle,73.3961549252,22.8162479426
circle,73.5074477338,22.8569887644
circle,63.3564881135,17.7240688424
circle,72.9590468722,22.5114998325
circle,64.0208416469,17.8835812521
circle,61.124463241,17.1163533592
circle,75.6742073297,24.7825009657
circle,69.5135831574,20.2793578927
circle,58.5721354669,16.642703808
circle,70.9819409865,21.1458881039
circle,65.2230303973,18.3971951223
circle,65.3150439093,18.3337482986
circle,64.0102406778,17.9244781912
circle,57.1409359294,16.5986105437
circle,56.3651532552,16.3265463742
circle,43.046183241,18.4025593948
circle,52.0817555582,16.4538745312
circle,42.8790365154,18.4894110252
circle,51.5669948027,16.4857136372
circle,58.8391251216,16.6376352154
circle,60.7557891374,17.0332315064
circle,54.7611561181,16.3661890954
circle,53.5699050003,16.3397125506
circle,48.9146182416,16.7986370826
circle,52.6461373069,16.3848363836
circle,49.8384929905,16.6763302777
circle,52.6840664009,16.4079627826
circle,65.8072190346,18.1407649473
circle,60.6739209233,17.0518023644
circle,63.394712866,17.7005351354
circle,64.8020094467,18.2168786335
circle,65.0259398087,18.2878245002
circle,65.7555515404,18.5162158303
circle,69.9677341245,20.5389887758
circle,68.8927840241,20.0324488429
circle,61.8265465579,17.2696554452
circle,60.7879700808,17.0462048583
circle,61.9156096372,17.2821912228
circle,45.0289975331,17.7244473049
circle,39.9213628084,19.7018495281
circle,84.7942778751,55.5686503735
circle,55.6629587449,83.3564796243
circle,50.4922475132,78.997532065
circle,51.4671011416,79.2018445773
bullseye,51.2038911373,83.3397766053
bullseye,58.9744699018,85.499817612
bullseye,51.8720726696,85.8297376348
bullseye,48.1799307865,85.0451167372
bullseye,41.6832004024,84.0179406019
bullseye,37.8904155015,82.5674929978
bullseye,39.5489736947,80.812601774
bullseye,39.6495738769,82.6645338713
bullseye,34.7505970472,80.0110909897
bullseye,27.560835291,72.8478255927
bullseye,24.6355399754,71.6107148256
bullseye,20.9594648125,66.0414983826
bullseye,20.6891490538,62.7213052064
bullseye,19.2882047369,62.0630593582
bullseye,20.0245005746,61.3426238695
bullseye,35.4695229971,43.1158849517
bullseye,36.8943276507,47.7065559687
bullseye,39.0555497751,55.5469737131
bullseye,46.9570801494,65.2404073935
bullseye,37.3104527352,45.2587508999
bullseye,40.0096720019,60.9865825077
bullseye,48.0143866846,65.7128195934
bullseye,53.7037759268,66.3894820363
bullseye,63.0674998921,64.0350004581
bullseye,62.0480325076,63.8458632494
bullseye,59.8399667124,64.4767644437
bullseye,55.1609418175,65.2373081694
bullseye,61.2797865792,65.766402504
bullseye,60.8349175348,64.6037697063
bullseye,61.5205906458,64.7918550418
bullseye,36.916543863,41.0952474383
bullseye,38.5021996714,41.5671556174
bullseye,48.6643707344,30.6806668519
bullseye,50.2852524042,30.3379221051
bullseye,42.276332666,34.5276361236
bullseye,54.0317756204,29.6723483149
bullseye,37.3293552552,39.6020423074
bullseye,41.389522551,37.2960562328
bullseye,40.0746666572,34.6236852027
bullseye,35.3496806211,47.1410731332
bullseye,34.7637004189,47.6247999245
bullseye,37.0266294472,44.4622930512
bullseye,36.4555695327,40.791843032
bullseye,35.5376642131,48.7293868661
bullseye,20.4089478892,32.2030304205
bullseye,23.4957104659,25.3224681542
bullseye,29.5575433634,21.3647774591
bullseye,33.0082339121,15.9850714584
bullseye,53.9803991821,29.3509867092
bullseye,52.2343086004,29.711672986500002
bullseye,59.5030766063,30.6696739448
bullseye,41.1637810689,34.3157582514
bullseye,48.9930401201,32.0303588363
bullseye,59.2692803248,29.6407017654
bullseye,45.4691770035,33.8311927323
bullseye,62.6912665406,30.2903738312
bullseye,73.4286708654,48.5778551303
bullseye,70.846426107,52.282253331
bullseye,71.5390198495,45.5218061588
bullseye,67.6208658884,38.0065584658
bullseye,72.4709525633,51.1221348241
bullseye,64.8122375621,62.8109155873
bullseye,60.8536798727,65.4991470327
bullseye,67.7894961571,61.3637015467
bullseye,41.6095572691,83.8486865559
bullseye,53.0030253202,84.6747986012
bullseye,54.7141710591,84.0431280734
bullseye,44.2916687157,82.9094412144
bullseye,49.1917219555,85.8762291224
bullseye,53.1013817819,84.5476586881
bullseye,51.599848153,84.8198214898
bullseye,54.3797219484,84.2403555494
bullseye,46.4807681047,83.518211666
bullseye,53.174656268,84.2605679876
bullseye,45.272002941,85.2370794195
bullseye,36.03340215,53.371687755
bullseye,28.2711941653,72.840231257
bullseye,25.0548060847,71.5485979221
bullseye,64.7588870014,82.3152236405
bullseye,63.1445274767,85.2366963264
bullseye,50.4246786898,85.1747475891
bullseye,70.6449962629,82.4309187567
bullseye,63.1490490834,83.9468553485
bullseye,62.8240245172,84.9661859507
bullseye,70.236869515,82.1711510621
bullseye,70.0427352449,80.3850213547
bullseye,72.5706234458,80.9712184346
bullseye,75.1307160373,79.9840931403
bullseye,83.2939057345,70.7784317876
bullseye,79.6642622775,73.9323097157
bullseye,88.4321025254,64.6242470023
bullseye,89.1155590082,64.0015066388
bullseye,89.0921976305,57.768193047
bullseye,91.7260057727,52.6233532573
bullseye,91.7355387598,48.9702108877
bullseye,91.5078881747,53.3126520851
bullseye,88.239001904,31.4774348786
bullseye,88.5305192041,30.4760310098
bullseye,55.3651603364,30.4458502777
bullseye,62.5602588694,30.4471356661
bullseye,58.0066691227,30.2537212987
bullseye,55.0671179917,29.0115351997
bullseye,61.6147759612,29.9943911942
bullseye,68.5431435378,35.6578321706
bullseye,77.7061096487,20.3042601852
bullseye,68.4530459999,13.0355285908
bullseye,68.2572064402,12.3846391542
bullseye,70.2554746739,13.2503849689
bullseye,65.0443252778,11.0008414785
bullseye,60.0922466078,11.8721117093
bullseye,52.9920289667,9.90666848335
bullseye,50.1446289773,12.2115430946
bullseye,46.5086141932,11.2071344881
bullseye,43.8070319612,11.3189448865
bullseye,57.8178546865,10.9451424306
bullseye,50.9404926595,9.69154713447
bullseye,63.4973230835,11.9140691707
bullseye,50.0164829541,11.9338520864
bullseye,58.6367650809,11.9747210652
bullseye,54.7302890863,11.4128826732
bullseye,65.8755478023,11.7324363627
bullseye,57.0609827131,9.92056085444
bullseye,46.819907946,10.4946526804
bullseye,38.3593948725,13.431322624
bullseye,47.3154157773,12.853451784
bullseye,55.0519165396,11.9499886181
bullseye,50.5159602579,9.76559162187
bullseye,49.6774146514,10.3831325083
bullseye,67.2806595188,14.1286515323
bullseye,66.1730182606,12.0379170217
bullseye,61.0885441374,10.0845344144
bullseye,66.0530857731,13.3802260073
bullseye,72.6699892655,15.2342259409
bullseye,61.503472503,10.8284144754
bullseye,68.995028632,13.9943105293
bullseye,78.2499161658,17.8832409068
bullseye,36.4819805699,15.1627600944
bullseye,50.9677483784,29.6797742875
bullseye,91.1910536059,46.6743428399
bullseye,55.8637684939,85.3364867573
bullseye,49.2805947987,84.0488228306
bullseye,43.3685015447,84.3321772039
slant_up,47.6952008891,95.2411869282
slant_up,44.6099759113,93.075835032
slant_up,43.8563814822,94.0858717713
slant_up,41.5789293984,90.3035665387
slant_up,49.1774185559,96.6105324538
slant_up,42.6522509813,90.5606397307
slant_up,30.1233318217,81.1442953304
slant_up,31.915519986,79.7904134869
slant_up,27.8877193574,75.4455759934
slant_up,27.5482344526,75.1647590544
slant_up,20.2097781637,67.5166420988
slant_up,24.4434528292,54.4736551228
slant_up,24.6308301331,53.3957388998
slant_up,21.0379688969,49.829299645
slant_up,27.106242932,54.7195531488
slant_up,28.0896176553,60.512212549
slant_up,31.1357349152,61.4319127116
slant_up,37.700837521,68.4184052804
